BuildingID,BuildingMgr,BuildingAge,Zip Code,City
1,M1,25,24112,Martinsville
2,M2,27,54880,Superior
3,M3,28,37066,Gallatin
4,M4,17,33009,Hallandale
5,M5,3,54952,Menasha
6,M6,9,30075,Roswell
7,M7,13,39532,Biloxi
8,M8,25,90505,Torrance
9,M9,11,21030,Cockeysville
10,M10,23,45840,Findlay
11,M11,14,30518,Buford
12,M12,26,22030,Fairfax
13,M13,25,47905,Lafayette
14,M14,17,19067,Morrisville
15,M15,19,33139,Miami Beach
16,M16,23,32404,"Panama City,"
17,M17,11,48237,Oak Park
18,M18,25,46360,Michigan City
19,M19,14,20745,Oxon Hill
20,M20,19,50310,Des Moines
